,year,policedistrict,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
20,2001.0,Breckenridge PD,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0
21,2001.0,Broomfield PD,4.0,478.0,2.0,4.0,0.0,230.0,44.0,82.0,0.0,6.0,14.0,14.0,0.0,223.0,186.0,1.0,0.0,0.0,15.0,12.0,2.0,,1.0,0.0,4.0,0.0,45.0,5.0
22,2001.0,Brush PD,3.0,123.0,0.0,1.0,0.0,59.0,30.0,6.0,0.0,1.0,1.0,3.0,0.0,9.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0
23,2001.0,Buena Vista PD,0.0,50.0,0.0,0.0,0.0,45.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,4.0,2.0
24,2001.0,Burlington PD,2.0,70.0,0.0,4.0,0.0,25.0,9.0,4.0,0.0,1.0,1.0,20.0,0.0,5.0,15.0,2.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,5.0,2.0
25,2001.0,Castle Rock PD,5.0,29.0,0.0,0.0,0.0,27.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,1.0,0.0,6.0,3.0
26,2001.0,Cedaredge PD,4.0,4.0,0.0,2.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,2.0
27,2001.0,Center PD,8.0,71.0,0.0,2.0,0.0,30.0,5.0,3.0,0.0,0.0,1.0,14.0,0.0,2.0,9.0,1.0,1.0,0.0,9.0,0.0,0.0,,2.0,0.0,0.0,0.0,3.0,1.0
28,2001.0,Central City PD,1.0,3.0,0.0,0.0,0.0,22.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
29,2001.0,Chaffee County Sheriff,5.0,265.0,0.0,6.0,0.0,72.0,7.0,11.0,0.0,2.0,3.0,20.0,0.0,10.0,5.0,3.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,3.0
30,2001.0,Cherry Hills Village PD,2.0,1.0,0.0,0.0,0.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
31,2001.0,Cheyenne County Sheriff,0.0,17.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
32,2001.0,Clear Creek County Sheriff,5.0,346.0,0.0,1.0,0.0,52.0,0.0,17.0,1.0,1.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,7.0,2.0,0.0,,0.0,0.0,2.0,0.0,6.0,3.0
33,2001.0,Colorado Dept. of Corrections,5.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
34,2001.0,Colorado Div. of Gaming,1.0,492.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,161.0,6.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
35,2001.0,Colorado School of Mines PD,0.0,11.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,1.0
36,2001.0,Colorado Springs PD,405.0,8447.0,17.0,248.0,0.0,2083.0,596.0,1627.0,0.0,50.0,118.0,399.0,0.0,2378.0,1711.0,133.0,12.0,0.0,230.0,74.0,59.0,,86.0,0.0,45.0,0.0,586.0,219.0
37,2001.0,Colorado State Patrol,14.0,3164.0,0.0,0.0,0.0,7985.0,7.0,689.0,0.0,0.0,14.0,61.0,0.0,12.0,75.0,37.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,25.0,0.0,5.0,35.0
38,2001.0,Colorado State Univ. - Fort Collins PD,4.0,110.0,0.0,3.0,0.0,93.0,40.0,42.0,1.0,2.0,12.0,7.0,0.0,48.0,249.0,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,0.0,0.0,0.0,19.0,1.0
39,2001.0,Columbine Valley PD,0.0,3.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
40,2001.0,Commerce City PD,60.0,969.0,0.0,23.0,0.0,366.0,147.0,162.0,0.0,2.0,40.0,7.0,0.0,254.0,68.0,26.0,1.0,0.0,70.0,9.0,25.0,,11.0,0.0,18.0,19.0,40.0,14.0
41,2001.0,Conejos County Sheriff,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
