,county,med_age,pop,households,emp,unemp,hispanic,white_nh,black_nh,race_other,housing_un,vac_hu,nohsdipl,med_hh_inc,per_cap_in,not_citz,brn_oth_st,pop_3pl,enrolled,n_enrolled,gr_9_12,med_hm_val,med_yr_blt,own_occ_hu,v_l_50k,ps_uni,ps_below,tot_l18,pov_l18,v50k_150k,v150k_250k,v250k_400k,v400k_750k,v750k_plus
37,PROWERS,38.3,12022.0,4888.0,5494.0,278.0,4573.0,7080.0,95.0,274.0,5982.0,1094.0,1516.0,41929.0,23698.0,818.0,3408.0,11428.0,2897.0,8531.0,610.0,106100.0,1967.0,3198.0,544.0,11681.0,1866.0,3036.0,572.0,1547.0,679.0,284.0,128.0,16.0
38,WASHINGTON,41.6,4868.0,2087.0,2284.0,57.0,488.0,4232.0,47.0,101.0,2373.0,286.0,275.0,50094.0,27860.0,85.0,1505.0,4690.0,996.0,3694.0,245.0,151300.0,1958.0,1396.0,145.0,4547.0,535.0,1093.0,165.0,546.0,381.0,264.0,45.0,15.0
39,GRAND,42.9,15303.0,5884.0,8646.0,295.0,1350.0,13358.0,157.0,438.0,16780.0,10896.0,629.0,71198.0,37876.0,467.0,8151.0,14997.0,2499.0,12498.0,754.0,308200.0,1989.0,4028.0,170.0,15219.0,1440.0,2644.0,238.0,272.0,971.0,1228.0,998.0,389.0
40,OTERO,39.9,18282.0,7722.0,7030.0,557.0,7658.0,9711.0,113.0,800.0,8999.0,1277.0,1552.0,38169.0,21110.0,626.0,5291.0,17663.0,4465.0,13198.0,982.0,94900.0,1961.0,4936.0,736.0,17857.0,4226.0,4342.0,1294.0,2793.0,928.0,284.0,132.0,63.0
41,BROOMFIELD,37.8,67886.0,27470.0,38422.0,1263.0,8404.0,52116.0,772.0,6594.0,28374.0,904.0,1439.0,96416.0,50863.0,2482.0,34368.0,65748.0,17330.0,48418.0,3685.0,413500.0,1999.0,17917.0,458.0,67549.0,3763.0,15715.0,975.0,279.0,1384.0,6357.0,8100.0,1339.0
42,HINSDALE,56.1,857.0,377.0,384.0,19.0,49.0,771.0,0.0,37.0,1461.0,1084.0,44.0,56339.0,33570.0,3.0,639.0,830.0,122.0,708.0,48.0,350000.0,1982.0,270.0,8.0,857.0,84.0,138.0,12.0,11.0,36.0,114.0,80.0,21.0
43,DOLORES,48.8,1857.0,759.0,792.0,32.0,131.0,1667.0,0.0,59.0,1581.0,822.0,86.0,45972.0,26323.0,14.0,951.0,1802.0,327.0,1475.0,46.0,116600.0,1974.0,619.0,98.0,1857.0,246.0,408.0,82.0,269.0,153.0,78.0,21.0,0.0
44,JACKSON,51.6,1261.0,558.0,641.0,11.0,220.0,1036.0,0.0,5.0,1319.0,761.0,123.0,53300.0,28199.0,27.0,632.0,1240.0,217.0,1023.0,77.0,196700.0,1978.0,446.0,38.0,1255.0,121.0,184.0,33.0,122.0,142.0,91.0,28.0,25.0
45,MONTEZUMA,45.2,26031.0,10655.0,11212.0,603.0,3260.0,18854.0,63.0,3854.0,12331.0,1676.0,1852.0,49470.0,26072.0,465.0,13915.0,25270.0,5257.0,20013.0,1239.0,222800.0,1983.0,7683.0,413.0,25795.0,3902.0,5630.0,1240.0,1475.0,2466.0,2162.0,1031.0,136.0
46,BOULDER,36.6,322510.0,127415.0,175849.0,7708.0,44740.0,250174.0,2699.0,24897.0,136096.0,8681.0,10596.0,83019.0,46826.0,19749.0,181658.0,314153.0,97364.0,216789.0,15749.0,497300.0,1983.0,79273.0,2322.0,310784.0,36358.0,61736.0,5243.0,1902.0,5811.0,17391.0,32884.0,18963.0
47,YUMA,37.8,10003.0,4028.0,4899.0,194.0,2343.0,7473.0,47.0,140.0,4556.0,528.0,759.0,52022.0,27955.0,1127.0,2640.0,9549.0,2236.0,7313.0,532.0,191800.0,1962.0,2695.0,190.0,9708.0,1357.0,2492.0,473.0,850.0,866.0,540.0,182.0,67.0
48,ROUTT,40.2,25072.0,9603.0,14464.0,463.0,1743.0,22495.0,232.0,602.0,16828.0,7225.0,588.0,77443.0,43769.0,663.0,14582.0,24437.0,5241.0,19196.0,1486.0,535300.0,1990.0,6837.0,384.0,24781.0,2705.0,4572.0,460.0,473.0,727.0,889.0,2355.0,2009.0
49,CLEAR CREEK,48.1,9495.0,4395.0,5265.0,170.0,662.0,8422.0,103.0,308.0,5793.0,1398.0,102.0,67060.0,39203.0,130.0,5407.0,9212.0,1570.0,7642.0,566.0,378300.0,1974.0,3394.0,161.0,9344.0,725.0,1479.0,84.0,213.0,511.0,947.0,1134.0,428.0
50,PUEBLO,39.3,165982.0,64314.0,68559.0,5561.0,71356.0,86404.0,2631.0,5591.0,71223.0,6909.0,11721.0,46783.0,25051.0,2631.0,51675.0,160659.0,40312.0,120347.0,8919.0,164600.0,1973.0,41589.0,2338.0,161900.0,30591.0,36976.0,9822.0,15222.0,14641.0,7050.0,1933.0,405.0
51,PARK,50.7,17867.0,6931.0,8880.0,518.0,1091.0,15892.0,26.0,858.0,14554.0,7623.0,327.0,73622.0,36500.0,182.0,11205.0,17460.0,2851.0,14609.0,651.0,327200.0,1991.0,5988.0,146.0,17684.0,1293.0,2717.0,369.0,396.0,1259.0,2446.0,1580.0,161.0
52,MESA,39.7,151218.0,61742.0,70796.0,5059.0,21988.0,123063.0,890.0,5277.0,66599.0,4857.0,9849.0,55379.0,29596.0,3485.0,69512.0,146216.0,35877.0,110339.0,7859.0,227000.0,1985.0,42093.0,2297.0,147871.0,21032.0,32378.0,6220.0,7238.0,14702.0,11259.0,5425.0,1172.0
53,EL PASO,34.2,698974.0,257507.0,323140.0,19962.0,119545.0,483009.0,41880.0,54540.0,272379.0,14872.0,26003.0,68779.0,33728.0,22211.0,405225.0,671661.0,189593.0,482068.0,37561.0,275000.0,1986.0,164677.0,5307.0,680092.0,68548.0,167335.0,22130.0,13285.0,51233.0,57578.0,31782.0,5492.0
54,ARAPAHOE,36.6,644560.0,240304.0,347236.0,14771.0,123960.0,388556.0,67640.0,64404.0,251212.0,10908.0,32339.0,77469.0,40443.0,54283.0,270938.0,620700.0,161819.0,458881.0,35739.0,358200.0,1984.0,152635.0,2859.0,637457.0,51542.0,151024.0,15232.0,7100.0,25239.0,57268.0,48549.0,11620.0
55,CHAFFEE,49.2,19557.0,8231.0,8364.0,291.0,1963.0,16609.0,330.0,655.0,11064.0,2833.0,1004.0,55771.0,29827.0,331.0,10424.0,19105.0,2791.0,16314.0,655.0,357800.0,1985.0,6405.0,254.0,18213.0,1776.0,2930.0,271.0,228.0,1127.0,2369.0,1897.0,530.0
56,GARFIELD,36.5,59055.0,21498.0,31575.0,1469.0,16789.0,40239.0,286.0,1741.0,24001.0,2503.0,4685.0,75937.0,33393.0,6395.0,24543.0,56664.0,14277.0,42387.0,3106.0,360600.0,1991.0,14374.0,887.0,58115.0,5009.0,14834.0,1641.0,934.0,2396.0,4129.0,4378.0,1650.0
57,JEFFERSON,40.3,574798.0,232284.0,316280.0,11921.0,88330.0,449045.0,6132.0,31291.0,240956.0,8672.0,22750.0,82986.0,44119.0,16811.0,266811.0,556288.0,128059.0,428229.0,27499.0,397700.0,1978.0,164186.0,2797.0,565382.0,40118.0,113313.0,9384.0,3552.0,17858.0,58855.0,68991.0,12133.0
58,RIO BLANCO,36.9,6384.0,2301.0,2806.0,176.0,655.0,5404.0,30.0,295.0,3391.0,1090.0,342.0,54357.0,26487.0,137.0,2749.0,6151.0,1741.0,4410.0,271.0,197100.0,1979.0,1629.0,93.0,6026.0,637.0,1522.0,163.0,364.0,664.0,402.0,97.0,9.0
59,CONEJOS,38.8,8128.0,3183.0,3029.0,354.0,4263.0,3622.0,40.0,203.0,4433.0,1250.0,636.0,36084.0,20640.0,74.0,1567.0,7824.0,1985.0,5839.0,458.0,120500.0,1974.0,2528.0,330.0,8089.0,1756.0,2164.0,636.0,1231.0,676.0,220.0,52.0,19.0
60,ADAMS,33.8,504108.0,166450.0,261893.0,10917.0,201784.0,252170.0,16139.0,34015.0,173200.0,6750.0,52590.0,71202.0,30313.0,48671.0,158428.0,482605.0,131969.0,350636.0,30725.0,307600.0,1987.0,110208.0,6278.0,499315.0,54159.0,134212.0,19943.0,5851.0,23243.0,49680.0,22451.0,2705.0
61,EAGLE,37.0,54681.0,18171.0,34128.0,647.0,16179.0,36748.0,615.0,1139.0,32461.0,14290.0,4522.0,84790.0,44391.0,6828.0,26288.0,53028.0,11841.0,41187.0,2988.0,562300.0,1991.0,12680.0,575.0,54401.0,4354.0,11805.0,1184.0,766.0,848.0,1760.0,4862.0,3869.0
62,MOFFAT,36.6,13127.0,5366.0,6163.0,282.0,2044.0,10543.0,130.0,410.0,6300.0,934.0,1004.0,57229.0,29100.0,544.0,5358.0,12414.0,2788.0,9626.0,564.0,182300.0,1976.0,3475.0,262.0,13003.0,2206.0,3361.0,680.0,960.0,1186.0,824.0,209.0,34.0
63,CHEYENNE,39.4,2026.0,774.0,849.0,68.0,346.0,1576.0,2.0,102.0,989.0,215.0,112.0,53977.0,29081.0,130.0,422.0,1903.0,467.0,1436.0,120.0,108000.0,1971.0,553.0,145.0,1983.0,203.0,592.0,58.0,197.0,129.0,65.0,15.0,2.0
