,county,med_age,pop,households,emp,unemp,hispanic,white_nh,black_nh,race_other,housing_un,vac_hu,nohsdipl,med_hh_inc,per_cap_in,not_citz,brn_oth_st,pop_3pl,enrolled,n_enrolled,gr_9_12,med_hm_val,med_yr_blt,own_occ_hu,v_l_50k,ps_uni,ps_below,tot_l18,pov_l18,v50k_150k,v150k_250k,v250k_400k,v400k_750k,v750k_plus
0,ARAPAHOE,35.7,574357,223747,292089,25952,105174,364766,55629,48788,238160,14413,33815,60400,32845,54417,255812,549701,153854,395847,33425,230900,1982,143158,4207,568999,66945,144576,23054,22174,55935,38213,16339,6290
1,MINERAL,60.3,702,363,370,21,15,671,9,7,1311,948,24,52750,42539,7,488,695,37,658,8,273600,1982,305,45,702,47,26,0,31,62,80,56,31
2,MONTROSE,42.6,40994,16732,18110,2014,8037,31799,186,972,18178,1446,4262,47139,23018,2256,18750,39618,9350,30268,2397,200900,1985,12406,1311,40368,5565,9788,1927,2276,4496,2734,1370,219
3,PARK,47.0,16168,6997,8796,787,777,14818,5,568,13923,6926,575,62594,31419,198,9890,15799,3092,12707,812,249600,1986,6233,246,16049,1355,3049,276,585,2295,2184,764,159
4,MORGAN,36.0,28200,10489,12758,1028,9557,17399,701,543,11459,970,3841,42829,20276,3124,8197,26892,7465,19427,1836,138900,1970,6724,923,27416,4002,7670,1454,2813,2054,643,238,53
5,OTERO,40.6,18791,7639,7407,1047,7596,10592,72,531,8960,1321,2221,31860,18416,540,5174,18138,4980,13158,1146,90900,1956,4818,911,18151,4502,4535,1751,2808,690,281,95,33
6,PHILLIPS,40.8,4380,1643,1951,113,1103,3204,1,72,1916,273,402,45339,21037,371,1049,4185,1023,3162,220,126900,1957,1182,153,4314,787,1176,331,600,344,46,36,3
7,PITKIN,43.0,17000,7347,10138,740,1532,14919,85,464,12869,5522,488,68621,52428,1393,10734,16465,3463,13002,918,618900,1981,4801,67,16965,1863,2927,383,368,799,621,887,2059
8,PROWERS,36.7,12539,4995,5595,459,4432,7824,27,256,5935,940,1523,33671,18305,983,3544,11949,3399,8550,799,83900,1964,3307,905,12127,2695,3372,942,1628,629,83,35,27
9,PUEBLO,38.8,159072,62090,65192,7997,65892,85971,2736,4473,69366,7276,14444,41820,22164,3236,49337,153253,41791,111462,9199,140500,1971,41404,2964,154352,27975,37617,9902,19570,12957,4387,1086,440
10,RIO BLANCO,36.8,6728,2540,3333,157,691,5780,48,209,3164,624,318,58393,26473,274,3308,6467,1641,4826,270,212000,1975,1772,167,6503,883,1630,112,307,620,466,114,98
11,HUERFANO,51.5,6730,3134,2198,293,2391,3573,129,637,5074,1940,852,32754,23387,224,2764,6521,1172,5349,191,159100,1977,2330,210,6027,1254,1140,397,902,560,271,202,185
12,RIO GRANDE,41.8,11925,4344,4889,444,5098,6523,69,235,6644,2300,1236,38329,19968,439,3807,11445,3037,8408,647,136500,1972,2967,313,11605,2072,2926,783,1299,909,239,163,44
13,BACA,47.8,3783,1675,1827,49,347,3311,16,109,2253,578,377,39497,22436,66,1641,3663,749,2914,215,72300,1961,1236,399,3649,530,824,139,601,144,49,23,20
14,ALAMOSA,32.2,15750,5853,6449,722,7185,7767,110,688,6572,719,1305,38045,19657,628,5162,14903,5362,9541,890,133200,1974,3702,435,14622,3191,3817,758,1599,1077,397,177,17
15,JACKSON,46.5,1397,619,784,20,126,1257,4,10,1158,539,103,45298,24803,20,746,1381,294,1087,61,121800,1973,461,61,1374,171,289,71,197,71,84,21,27
16,ARCHULETA,47.5,12109,4536,5444,680,2157,9493,9,450,8742,4206,647,54007,29771,185,8225,11866,2588,9278,789,291300,1990,3532,152,11989,1051,2386,359,513,781,1153,612,321
17,BENT,40.6,6192,1932,1648,310,1908,3445,525,314,2255,323,1036,36297,15259,210,2300,6029,1022,5007,286,70600,1955,1215,415,4354,912,1017,207,548,141,73,38,0
18,MOFFAT,36.4,13547,5243,6757,537,1918,11169,47,413,6179,936,1045,51008,23974,665,5477,13033,3774,9259,876,184800,1977,3922,508,13333,1606,3538,478,1012,1352,823,205,22
19,CHAFFEE,47.3,17879,7680,8156,673,1722,15439,500,218,10038,2358,1197,45713,27961,331,10110,17375,2968,14407,720,256300,1979,5834,339,16573,1556,2864,461,727,1757,1797,1007,207
20,DENVER,33.7,604356,261836,316306,29824,192012,315700,59347,37297,285495,23659,61670,49091,32597,67143,245736,577316,148043,429273,24519,246300,1965,132001,2638,592866,112183,128753,36654,24441,40258,36044,21705,6915
21,CONEJOS,38.2,8241,3137,3259,304,4584,3490,6,161,4287,1150,922,32860,17929,214,1444,7871,2183,5688,539,106300,1970,2413,392,8131,1399,2275,460,1256,545,147,40,33
22,CROWLEY,39.4,5747,1207,1460,367,1673,3436,441,197,1560,353,1313,38507,17925,297,2023,5585,1085,4500,326,80400,1947,940,249,3834,874,642,186,512,129,19,18,13
23,HINSDALE,56.5,790,372,363,15,19,764,0,7,1525,1153,34,54844,36524,2,561,752,53,699,0,252700,1979,295,7,790,40,89,0,30,109,73,56,20
24,KIOWA,40.1,1393,528,700,23,65,1304,2,22,755,227,81,41739,21960,34,396,1337,435,902,131,76100,1958,381,120,1372,205,419,69,184,51,6,16,4
25,KIT CARSON,39.0,8210,3051,3856,183,1534,6307,259,110,3527,476,1001,42832,20846,680,2932,7927,1925,6002,563,118400,1969,2086,372,7444,871,1799,275,921,444,270,50,29
