,county,med_age,pop,households,emp,unemp,hispanic,white_nh,black_nh,race_other,housing_un,vac_hu,nohsdipl,med_hh_inc,per_cap_in,not_citz,brn_oth_st,pop_3pl,enrolled,n_enrolled,gr_9_12,med_hm_val,med_yr_blt,own_occ_hu,v_l_50k,ps_uni,ps_below,tot_l18,pov_l18,v50k_150k,v150k_250k,v250k_400k,v400k_750k,v750k_plus
26,LAS ANIMAS,44.2,15385,6161,6706,651,6459,8228,158,540,8206,2045,1839,41623,21941,314,5829,14912,3566,11346,754,143200,1958,4358,429,14903,2769,3175,729,1823,1241,610,188,67
27,LINCOLN,39.4,5443,1874,1897,116,680,4048,499,216,2401,527,786,43807,19858,285,2054,5318,918,4400,264,105700,1965,1298,195,3952,399,969,99,636,265,146,29,27
28,LOGAN,37.5,22541,8020,11022,1220,3542,18256,315,428,8954,934,1720,41369,22815,1090,7299,21957,5387,16570,1111,121200,1962,5716,822,21537,3426,4431,1103,2955,1331,426,87,95
29,WASHINGTON,44.2,4796,2073,2327,70,431,4262,20,83,2418,345,380,43925,24435,80,1372,4656,1139,3517,304,112900,1956,1484,278,4626,468,1085,134,663,351,141,41,10
30,ADAMS,32.4,442996,151034,213794,22316,167556,235991,12970,26479,163245,12211,51961,56633,24357,46824,148182,420756,117499,303257,24342,188100,1983,100108,8578,438171,62008,124375,25278,19838,47583,17779,5427,903
31,BOULDER,35.6,297218,120061,158407,11662,39475,235676,2230,19837,127105,7044,11364,67403,38283,20667,165850,287972,92978,194994,14049,354300,1980,75992,3355,287760,38134,61999,7778,3294,15719,22174,23207,8243
32,MESA,37.9,146562,58635,68370,5800,19484,121714,822,4542,62555,3920,9925,51029,27030,4058,70201,141212,36710,104502,7576,216600,1982,41993,2595,143753,19230,34003,5672,7072,16477,10185,4783,881
33,CLEAR CREEK,45.8,9059,4013,5141,407,453,8327,27,252,5679,1666,322,60517,36015,156,5226,8786,1764,7022,587,278700,1974,3199,122,8924,873,1651,189,447,787,1088,692,63
34,JEFFERSON,40.2,536095,219005,281712,23152,77024,427845,5201,26025,230125,11120,24258,68748,36069,17770,246862,518280,133330,384950,29899,260800,1977,154844,3395,527576,45532,116578,14244,12645,55623,53738,24341,5102
35,EL PASO,34.1,622816,234058,276952,27499,93837,448325,35389,45265,253014,18956,25869,57531,28776,22099,362829,596425,181086,415339,34554,217500,1983,151047,6234,603781,75363,159199,27889,23641,62303,38595,17332,2942
36,GILPIN,44.5,5358,2458,3005,187,319,4845,44,150,3441,983,240,62286,35473,57,3284,5178,1040,4138,225,295800,1983,1857,15,5315,547,970,168,98,623,737,329,55
37,COSTILLA,47.4,3556,1418,1308,222,2333,1105,12,106,2602,1184,606,25309,18856,306,955,3477,794,2683,244,90400,1974,1109,155,3534,874,702,305,600,270,54,30,0
38,CUSTER,52.7,4208,2053,1623,291,152,3976,34,46,4177,2124,209,42534,28019,33,2446,4128,707,3421,191,224000,1989,1723,162,4143,572,643,173,298,522,412,277,52
39,SUMMIT,36.3,27753,11358,17805,1139,3836,22955,164,798,29781,18423,934,64680,34575,2581,17193,26837,4819,22018,928,460500,1986,7766,296,27610,3249,4743,629,326,704,1723,3233,1484
40,DELTA,46.1,30710,12661,12426,1521,4310,25460,306,634,14497,1836,2829,42786,23890,949,13823,29796,6280,23516,1766,198600,1976,9363,886,29596,4404,6421,1297,1920,3741,1803,757,256
41,SEDGWICK,47.9,2389,981,1070,89,446,1891,6,46,1366,385,257,38401,22202,68,1027,2305,543,1762,123,83200,1945,715,142,2347,354,501,96,420,91,30,16,16
42,DOUGLAS,36.7,286883,102189,149679,8465,21771,244370,3010,17732,106829,4640,4520,101108,43195,8798,159598,274814,87436,187378,18349,335300,1997,82767,610,285910,11538,86067,3762,2357,16758,35925,22064,5053
43,EAGLE,34.2,51850,18407,31782,1816,15484,34932,156,1278,31085,12678,4412,71030,38665,7994,24275,50045,11964,38081,2629,491500,1988,11799,370,51623,5138,12450,1646,682,1116,2248,4143,3240
44,LAKE,34.2,7372,2879,3892,297,2519,4432,75,346,4416,1537,750,45082,22622,963,2751,6938,2003,4935,325,163800,1964,2023,384,7234,1114,1932,446,415,919,210,57,38
45,LA PLATA,37.7,51443,21060,27400,1815,6119,41297,186,3841,25894,4834,2057,57407,30562,781,30646,49598,13525,36073,2280,336800,1985,14490,1377,49422,5510,10313,1123,1071,1994,4798,3913,1337
46,MONTEZUMA,42.8,25424,10883,11128,1423,2865,19081,13,3465,12040,1157,1815,44102,24731,430,13832,24412,5346,19066,1254,187900,1980,7634,1148,25016,4911,5758,1811,1587,2360,1535,678,326
47,LARIMER,35.4,300870,120592,156358,13376,31771,253754,2285,13060,132936,12344,11496,57927,30684,9850,164906,290527,91104,199423,14490,245200,1985,79839,4331,292830,40034,63452,8415,6207,31001,24732,11176,2392
48,OURAY,52.4,4445,1886,2154,242,91,4284,0,70,2920,1034,89,66474,34278,66,3264,4327,749,3578,213,400300,1992,1453,73,4437,265,640,43,107,136,410,492,235
49,ROUTT,39.4,23385,9833,13922,913,1535,21278,89,483,16131,6298,527,65041,35307,532,13248,22642,4889,17753,997,407700,1987,6928,306,23026,1725,4786,285,590,1025,1496,1751,1760
50,SAGUACHE,43.8,6189,2726,2901,275,2556,3413,20,200,3844,1118,981,32429,20521,528,2409,5953,1323,4630,374,131300,1981,1848,214,6116,1518,1368,494,796,349,269,128,92
51,SAN JUAN,37.9,747,378,473,68,108,608,0,31,755,377,50,37330,25653,15,443,721,73,648,26,244400,1972,205,0,747,146,59,14,41,68,83,10,3
52,TELLER,47.4,23163,9034,11125,1145,1248,20962,191,762,12622,3588,1007,57970,29866,181,15588,22702,4901,17801,1357,230400,1986,7560,372,22859,1872,4671,531,1421,2468,2138,884,277
53,SAN MIGUEL,38.2,7432,3360,4784,264,664,6559,1,208,6610,3250,200,63766,44159,548,4608,7234,1259,5975,287,489800,1991,2154,43,7386,538,1462,81,177,243,395,522,774
54,GRAND,41.1,14608,5341,8359,409,1095,13110,87,316,16044,10703,643,64416,31319,376,7836,14110,3187,10923,651,282200,1984,4062,319,14525,1255,2928,314,342,1022,1254,997,128
55,BROOMFIELD,36.5,55913,21375,30046,1817,6380,44218,413,4902,22552,1177,1779,80483,37964,2276,28603,53728,16180,37548,3126,274900,1993,15002,646,55714,3413,14275,924,337,5330,5251,3170,268
56,CHEYENNE,41.0,2095,858,1081,27,308,1761,5,21,1092,234,207,50357,24502,144,739,1994,466,1528,110,81700,1963,656,189,2045,159,490,42,339,67,45,10,6
57,GUNNISON,34.3,15385,6447,8811,674,1280,13680,95,330,11394,4947,552,50091,28280,482,8961,14915,4702,10213,508,327400,1982,3932,307,14275,2324,2802,586,199,751,1266,895,514
58,DOLORES,46.5,1806,807,785,79,68,1693,0,45,1415,608,159,43098,24392,4,911,1787,351,1436,62,123000,1974,644,69,1801,251,378,70,312,128,92,24,19
59,ELBERT,43.0,23058,8195,11789,1032,1280,20841,73,864,8942,747,452,80811,35034,434,11687,22523,6009,16514,1508,334400,1992,7398,216,22944,1384,5784,645,466,1365,2939,2014,398
60,FREMONT,43.0,47006,17200,14687,1183,5839,36270,2736,2161,19232,2032,5981,40893,19379,1531,23841,45876,8156,37720,1992,161100,1977,12369,1207,35583,5376,7257,1692,4236,4322,1836,592,176
61,GARFIELD,34.7,56330,20272,29185,2481,15743,38992,267,1328,23177,2905,5359,60215,26989,7333,24044,53935,14896,39039,3382,323100,1988,13494,923,55299,6031,15034,2139,1219,2431,3833,4002,1086
62,WELD,33.2,253552,89553,120443,9374,71792,171475,1969,8316,96351,6798,23275,56589,25341,15535,93756,241812,74371,167441,14036,192100,1989,63105,4521,247164,35581,69474,13265,14469,24157,13222,5397,1339
63,YUMA,36.3,10032,3886,4788,143,2080,7823,15,114,4463,577,917,45033,23098,1002,2750,9598,2338,7260,503,123200,1959,2592,340,9890,1059,2653,325,1186,664,314,58,30
