,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
121,OTERO,EAST OTERO R-1,2520.0,174.0,118.0,67.8,56.0,32.2,59.0,33.9
122,OTERO,ROCKY FORD R-2,2530.0,97.0,68.0,70.1,29.0,29.9,31.0,32.0
123,OTERO,MANZANOLA 3J,2535.0,14.0,12.0,85.7,2.0,14.3,2.0,14.3
124,OTERO,FOWLER R-4J,2540.0,32.0,27.0,84.4,5.0,15.6,5.0,15.6
125,OTERO,CHERAW 31,2560.0,26.0,16.0,61.5,10.0,38.5,10.0,38.5
126,OTERO,SWINK 33,2570.0,21.0,17.0,81.0,4.0,19.0,4.0,19.0
127,OURAY,OURAY R-1,2580.0,25.0,17.0,68.0,8.0,32.0,8.0,32.0
128,OURAY,RIDGWAY R-2,2590.0,18.0,12.0,66.7,6.0,33.3,7.0,38.9
129,PARK,PLATTE CANYON 1,2600.0,133.0,96.0,72.2,37.0,27.8,39.0,29.3
130,PARK,PARK COUNTY RE-2,2610.0,66.0,48.0,72.7,18.0,27.3,20.0,30.3
131,PHILLIPS,HOLYOKE RE-1J,2620.0,69.0,54.0,78.3,15.0,21.7,17.0,24.6
132,PHILLIPS,HAXTUN RE-2J,2630.0,30.0,23.0,76.7,7.0,23.3,7.0,23.3
133,PITKIN,ASPEN 1,2640.0,120.0,109.0,90.8,11.0,9.2,12.0,10.0
134,PROWERS,GRANADA RE-1,2650.0,14.0,9.0,64.3,5.0,35.7,5.0,35.7
135,PROWERS,LAMAR RE-2,2660.0,154.0,111.0,72.1,43.0,27.9,46.0,29.9
136,PROWERS,HOLLY RE-3,2670.0,29.0,27.0,93.1,2.0,6.9,2.0,6.9
137,PROWERS,WILEY RE-13 JT,2680.0,11.0,8.0,72.7,3.0,27.3,3.0,27.3
138,PUEBLO,PUEBLO CITY 60,2690.0,2195.0,1782.0,81.2,418.0,19.0,496.0,22.6
139,PUEBLO,PUEBLO COUNTY 70,2700.0,984.0,751.0,76.3,231.0,23.5,263.0,26.7
140,RIO BLANCO,MEEKER RE1,2710.0,64.0,48.0,75.0,16.0,25.0,16.0,25.0
141,RIO BLANCO,RANGELY RE-4,2720.0,53.0,47.0,88.7,6.0,11.3,6.0,11.3
142,RIO GRANDE,DEL NORTE C-7,2730.0,49.0,26.0,53.1,23.0,46.9,23.0,46.9
143,RIO GRANDE,MONTE VISTA C-8,2740.0,90.0,61.0,67.8,29.0,32.2,30.0,33.3
144,RIO GRANDE,SARGENT RE-33J,2750.0,13.0,10.0,76.9,3.0,23.1,3.0,23.1
145,ROUTT,HAYDEN RE-1,2760.0,60.0,49.0,81.7,11.0,18.3,11.0,18.3
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,243.0,194.0,79.8,49.0,20.2,49.0,20.2
147,ROUTT,SOUTH ROUTT RE 3,2780.0,55.0,45.0,81.8,10.0,18.2,10.0,18.2
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,16.0,11.0,68.8,5.0,31.3,6.0,37.5
149,SAGUACHE,MOFFAT 2,2800.0,19.0,14.0,73.7,5.0,26.3,5.0,26.3
150,SAGUACHE,CENTER 26 JT,2810.0,53.0,35.0,66.0,18.0,34.0,18.0,34.0
151,SAN JUAN,SILVERTON 1,2820.0,7.0,4.0,57.1,3.0,42.9,3.0,42.9
152,SAN MIGUEL,TELLURIDE R-1,2830.0,48.0,37.0,77.1,11.0,22.9,12.0,25.0
153,SAN MIGUEL,NORWOOD R-2J,2840.0,25.0,22.0,88.0,3.0,12.0,3.0,12.0
154,SEDGWICK,JULESBURG RE-1,2862.0,107.0,49.0,45.8,58.0,54.2,60.0,56.1
155,SEDGWICK,PLATTE VALLEY RE-3,2865.0,25.0,21.0,84.0,4.0,16.0,4.0,16.0
156,SUMMIT,SUMMIT RE-1,3000.0,323.0,273.0,84.5,50.0,15.5,54.0,16.7
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,3010.0,60.0,37.0,61.7,23.0,38.3,23.0,38.3
158,TELLER,WOODLAND PARK RE-2,3020.0,227.0,151.0,66.5,76.0,33.5,81.0,35.7
159,WASHINGTON,AKRON R-1,3030.0,47.0,35.0,74.5,10.0,21.3,12.0,25.5
160,WASHINGTON,ARICKAREE R-2,3040.0,7.0,5.0,71.4,2.0,28.6,2.0,28.6
161,WASHINGTON,OTIS R-3,3050.0,26.0,20.0,76.9,6.0,23.1,6.0,23.1
162,WASHINGTON,LONE STAR 101,3060.0,13.0,8.0,61.5,5.0,38.5,5.0,38.5
163,WASHINGTON,WOODLIN R-104,3070.0,13.0,10.0,76.9,3.0,23.1,3.0,23.1
164,WELD,WELD COUNTY RE-1,3080.0,212.0,152.0,71.7,60.0,28.3,61.0,28.8
165,WELD,EATON RE-2,3085.0,127.0,89.0,70.1,38.0,29.9,38.0,29.9
166,WELD,KEENESBURG RE-3(J),3090.0,198.0,146.0,73.7,52.0,26.3,55.0,27.8
167,WELD,WINDSOR RE-4,3100.0,383.0,301.0,78.6,82.0,21.4,83.0,21.7
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3110.0,331.0,252.0,76.1,79.0,23.9,83.0,25.1
169,WELD,GREELEY 6,3120.0,1875.0,1452.0,77.4,428.0,22.8,488.0,26.0
170,WELD,PLATTE VALLEY RE-7,3130.0,134.0,107.0,79.9,27.0,20.1,31.0,23.1
171,WELD,WELD COUNTY S/D RE-8,3140.0,155.0,120.0,77.4,35.0,22.6,36.0,23.2
172,WELD,AULT-HIGHLAND RE-9,3145.0,101.0,74.0,73.3,27.0,26.7,30.0,29.7
173,WELD,BRIGGSDALE RE-10,3146.0,11.0,8.0,72.7,3.0,27.3,3.0,27.3
174,WELD,PRAIRIE RE-11,3147.0,16.0,12.0,75.0,4.0,25.0,4.0,25.0
175,WELD,PAWNEE RE-12,3148.0,5.0,2.0,40.0,3.0,60.0,3.0,60.0
176,YUMA,YUMA 1,3200.0,80.0,58.0,72.5,22.0,27.5,26.0,32.5
177,YUMA,WRAY RD-2,3210.0,85.0,64.0,75.3,21.0,24.7,21.0,24.7
178,YUMA,IDALIA RJ-3,3220.0,18.0,14.0,77.8,4.0,22.2,4.0,22.2
179,YUMA,LIBERTY J-4,3230.0,14.0,6.0,42.9,8.0,57.1,8.0,57.1
180,DENVER,CHARTER SCHOOL INSTITUTE,8001.0,708.0,282.0,39.8,424.0,59.9,431.0,60.9
181,COLORADO BOCS,MOUNTAIN BOCES,9030.0,36.0,17.0,47.2,24.0,66.7,24.0,66.7
182,COLORADO BOCS,CENTENNIAL BOCES,9035.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
183,COLORADO BOCS,SAN JUAN BOCES,9050.0,5.0,0.0,0.0,5.0,100.0,5.0,100.0
184,COLORADO BOCS,EXPEDITIONARY BOCES,9130.0,40.0,34.0,85.0,6.0,15.0,6.0,15.0
