,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
60,EL PASO,PEYTON 23 JT,1060.0,33.0,32.0,97.0,1.0,3.0,2.0,6.1
61,EL PASO,HANOVER 28,1070.0,6.0,4.0,66.7,2.0,33.3,2.0,33.3
62,EL PASO,LEWIS-PALMER 38,1080.0,900.0,830.0,92.2,69.0,7.7,74.0,8.2
63,EL PASO,FALCON 49,1110.0,584.0,522.0,89.4,68.0,11.6,70.0,12.0
64,EL PASO,EDISON 54 JT,1120.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0
65,EL PASO,MIAMI/YODER 60 JT,1130.0,5.0,4.0,80.0,1.0,20.0,1.0,20.0
66,FREMONT,CANON CITY RE-1,1140.0,299.0,273.0,91.3,25.0,8.4,27.0,9.0
67,FREMONT,FREMONT RE-2,1150.0,59.0,56.0,94.9,3.0,5.1,4.0,6.8
68,FREMONT,COTOPAXI RE-3,1160.0,11.0,10.0,90.9,1.0,9.1,1.0,9.1
69,GARFIELD,ROARING FORK RE-1,1180.0,332.0,306.0,92.2,26.0,7.8,27.0,8.1
70,GARFIELD,GARFIELD RE-2,1195.0,295.0,260.0,88.1,35.0,11.9,38.0,12.9
71,GARFIELD,GARFIELD 16,1220.0,28.0,23.0,82.1,5.0,17.9,5.0,17.9
72,GILPIN,GILPIN COUNTY RE-1,1330.0,32.0,27.0,84.4,5.0,15.6,5.0,15.6
73,GRAND,WEST GRAND 1-JT.,1340.0,25.0,24.0,96.0,1.0,4.0,1.0,4.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,232.0,207.0,89.2,25.0,10.8,27.0,11.6
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0
76,HUERFANO,HUERFANO RE-1,1390.0,8.0,6.0,75.0,2.0,25.0,3.0,37.5
77,HUERFANO,LA VETA RE-2,1400.0,14.0,12.0,85.7,2.0,14.3,2.0,14.3
78,JACKSON,NORTH PARK R-1 ,1410.0,7.0,6.0,85.7,1.0,14.3,1.0,14.3
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,10053.0,9466.0,94.2,578.0,5.7,649.0,6.5
80,KIOWA,EADS RE-1,1430.0,11.0,9.0,81.8,2.0,18.2,2.0,18.2
81,KIOWA,PLAINVIEW RE-2,1440.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0
84,KIT CARSON,STRATTON R-4,1480.0,20.0,16.0,80.0,4.0,20.0,4.0,20.0
85,KIT CARSON,BETHUNE R-5,1490.0,8.0,5.0,62.5,3.0,37.5,3.0,37.5
86,KIT CARSON,BURLINGTON RE-6J,1500.0,25.0,23.0,92.0,2.0,8.0,2.0,8.0
87,LAKE,LAKE COUNTY R-1,1510.0,60.0,50.0,83.3,10.0,16.7,10.0,16.7
88,LA PLATA,DURANGO 9-R,1520.0,407.0,344.0,84.5,63.0,15.5,64.0,15.7
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,114.0,106.0,93.0,8.0,7.0,9.0,7.9
90,LA PLATA,IGNACIO 11 JT,1540.0,60.0,53.0,88.3,7.0,11.7,7.0,11.7
91,LARIMER,POUDRE R-1,1550.0,2627.0,2479.0,94.4,146.0,5.6,169.0,6.4
92,BOULDER,THOMPSON R2-J,1560.0,1651.0,1541.0,93.3,109.0,6.6,122.0,7.4
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,137.0,124.0,90.5,13.0,9.5,14.0,10.2
94,LAS ANIMAS,TRINIDAD 1,1580.0,19.0,18.0,94.7,1.0,5.3,1.0,5.3
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,5.0,4.0,80.0,1.0,20.0,1.0,20.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,6.0,5.0,83.3,1.0,16.7,1.0,16.7
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,36.0,28.0,77.8,8.0,22.2,9.0,25.0
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
100,LINCOLN,GENOA-HUGO C113,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,LINCOLN,LIMON RE-4J,1790.0,32.0,29.0,90.6,3.0,9.4,3.0,9.4
102,LINCOLN,KARVAL RE-23,1810.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
103,LOGAN,VALLEY RE-1,1828.0,176.0,162.0,92.0,14.0,8.0,15.0,8.5
104,LOGAN,FRENCHMAN RE-3,1850.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0
105,LOGAN,BUFFALO RE-4J,1860.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0
106,LOGAN,PLATEAU RE-5,1870.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0
107,MESA,DE BEQUE 49JT,1980.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
108,MESA,PLATEAU VALLEY 50,1990.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
109,MESA,MESA COUNTY VALLEY 51,2000.0,1267.0,1177.0,92.9,87.0,6.9,102.0,8.1
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,94.0,81.0,86.2,13.0,13.8,15.0,16.0
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,165.0,144.0,87.3,21.0,12.7,22.0,13.3
113,MONTEZUMA,DOLORES RE-4A,2055.0,36.0,31.0,86.1,5.0,13.9,5.0,13.9
114,MONTEZUMA,MANCOS RE-6,2070.0,35.0,27.0,77.1,8.0,22.9,8.0,22.9
115,MONTROSE,MONTROSE COUNTY RE-1J,2180.0,471.0,431.0,91.5,40.0,8.5,41.0,8.7
