,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
117,MORGAN,BRUSH RE-2(J),2395.0,893.0,688.0,77.0,205.0,23.0,236.0,26.4
118,MORGAN,FORT MORGAN RE-3,2405.0,2316.0,1809.0,78.1,504.0,21.8,568.0,24.5
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,4.0,1.0,25.0,3.0,75.0,3.0,75.0
120,MORGAN,WIGGINS RE-50(J),2515.0,266.0,219.0,82.3,47.0,17.7,49.0,18.4
121,OTERO,EAST OTERO R-1,2520.0,1030.0,755.0,73.3,275.0,26.7,298.0,28.9
122,OTERO,ROCKY FORD R-2,2530.0,752.0,548.0,72.9,204.0,27.1,217.0,28.9
123,OTERO,MANZANOLA 3J,2535.0,162.0,99.0,61.1,63.0,38.9,66.0,40.7
124,OTERO,FOWLER R-4J,2540.0,269.0,185.0,68.8,84.0,31.2,90.0,33.5
125,OTERO,CHERAW 31,2560.0,130.0,99.0,76.2,31.0,23.8,33.0,25.4
126,OTERO,SWINK 33,2570.0,190.0,134.0,70.5,56.0,29.5,57.0,30.0
127,OURAY,OURAY R-1,2580.0,70.0,47.0,67.1,23.0,32.9,23.0,32.9
128,OURAY,RIDGWAY R-2,2590.0,139.0,93.0,66.9,46.0,33.1,48.0,34.5
129,PARK,PLATTE CANYON 1,2600.0,467.0,301.0,64.5,166.0,35.5,171.0,36.6
130,PARK,PARK COUNTY RE-2,2610.0,315.0,162.0,51.4,153.0,48.6,157.0,49.8
131,PHILLIPS,HOLYOKE RE-1J,2620.0,330.0,245.0,74.2,85.0,25.8,92.0,27.9
132,PHILLIPS,HAXTUN RE-2J,2630.0,125.0,95.0,76.0,30.0,24.0,30.0,24.0
133,PITKIN,ASPEN 1,2640.0,117.0,92.0,78.6,25.0,21.4,26.0,22.2
134,PROWERS,GRANADA RE-1,2650.0,179.0,111.0,62.0,68.0,38.0,68.0,38.0
135,PROWERS,LAMAR RE-2,2660.0,1242.0,920.0,74.1,322.0,25.9,347.0,27.9
136,PROWERS,HOLLY RE-3,2670.0,205.0,164.0,80.0,41.0,20.0,44.0,21.5
137,PROWERS,WILEY RE-13 JT,2680.0,143.0,89.0,62.2,54.0,37.8,54.0,37.8
138,PUEBLO,PUEBLO CITY 60,2690.0,12394.0,10231.0,82.5,2057.0,16.6,2584.0,20.8
139,PUEBLO,PUEBLO COUNTY 70,2700.0,3806.0,2853.0,75.0,947.0,24.9,1035.0,27.2
140,RIO BLANCO,MEEKER RE1,2710.0,209.0,139.0,66.5,70.0,33.5,71.0,34.0
141,RIO BLANCO,RANGELY RE-4,2720.0,164.0,109.0,66.5,55.0,33.5,56.0,34.1
142,RIO GRANDE,DEL NORTE C-7,2730.0,290.0,192.0,66.2,98.0,33.8,105.0,36.2
143,RIO GRANDE,MONTE VISTA C-8,2740.0,888.0,682.0,76.8,204.0,23.0,220.0,24.8
144,RIO GRANDE,SARGENT RE-33J,2750.0,20.0,13.0,65.0,7.0,35.0,7.0,35.0
145,ROUTT,HAYDEN RE-1,2760.0,191.0,130.0,68.1,61.0,31.9,63.0,33.0
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,368.0,281.0,76.4,87.0,23.6,91.0,24.7
147,ROUTT,SOUTH ROUTT RE 3,2780.0,200.0,128.0,64.0,72.0,36.0,73.0,36.5
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,86.0,50.0,58.1,36.0,41.9,42.0,48.8
149,SAGUACHE,MOFFAT 2,2800.0,111.0,71.0,64.0,40.0,36.0,40.0,36.0
150,SAGUACHE,CENTER 26 JT,2810.0,599.0,441.0,73.6,158.0,26.4,173.0,28.9
151,SAN JUAN,SILVERTON 1,2820.0,51.0,30.0,58.8,21.0,41.2,22.0,43.1
152,SAN MIGUEL,TELLURIDE R-1,2830.0,181.0,161.0,89.0,20.0,11.0,20.0,11.0
153,SAN MIGUEL,NORWOOD R-2J,2840.0,131.0,95.0,72.5,36.0,27.5,40.0,30.5
154,SEDGWICK,JULESBURG RE-1,2862.0,209.0,112.0,53.6,96.0,45.9,98.0,46.9
155,SEDGWICK,PLATTE VALLEY RE-3,2865.0,104.0,78.0,75.0,26.0,25.0,26.0,25.0
156,SUMMIT,SUMMIT RE-1,3000.0,1214.0,946.0,77.9,267.0,22.0,290.0,23.9
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,3010.0,271.0,150.0,55.4,121.0,44.6,138.0,50.9
158,TELLER,WOODLAND PARK RE-2,3020.0,240.0,37.0,15.4,203.0,84.6,206.0,85.8
159,WASHINGTON,AKRON R-1,3030.0,186.0,139.0,74.7,42.0,22.6,47.0,25.3
160,WASHINGTON,ARICKAREE R-2,3040.0,50.0,28.0,56.0,22.0,44.0,22.0,44.0
161,WASHINGTON,OTIS R-3,3050.0,71.0,48.0,67.6,23.0,32.4,25.0,35.2
162,WASHINGTON,LONE STAR 101,3060.0,56.0,40.0,71.4,16.0,28.6,16.0,28.6
163,WASHINGTON,WOODLIN R-104,3070.0,57.0,33.0,57.9,24.0,42.1,25.0,43.9
164,WELD,WELD COUNTY RE-1,3080.0,830.0,678.0,81.7,151.0,18.2,161.0,19.4
165,WELD,EATON RE-2,3085.0,586.0,439.0,74.9,146.0,24.9,153.0,26.1
166,WELD,KEENESBURG RE-3(J),3090.0,1223.0,900.0,73.6,321.0,26.2,351.0,28.7
167,WELD,WINDSOR RE-4,3100.0,1036.0,774.0,74.7,255.0,24.6,277.0,26.7
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3110.0,1095.0,892.0,81.5,202.0,18.4,207.0,18.9
169,WELD,GREELEY 6,3120.0,13036.0,10499.0,80.5,2455.0,18.8,2964.0,22.7
170,WELD,PLATTE VALLEY RE-7,3130.0,188.0,152.0,80.9,36.0,19.1,38.0,20.2
171,WELD,WELD COUNTY S/D RE-8,3140.0,1551.0,1326.0,85.5,224.0,14.4,253.0,16.3
172,WELD,AULT-HIGHLAND RE-9,3145.0,505.0,346.0,68.5,158.0,31.3,169.0,33.5
173,WELD,BRIGGSDALE RE-10,3146.0,82.0,63.0,76.8,19.0,23.2,19.0,23.2
174,WELD,PRAIRIE RE-11,3147.0,54.0,33.0,61.1,21.0,38.9,21.0,38.9
175,WELD,PAWNEE RE-12,3148.0,24.0,17.0,70.8,7.0,29.2,7.0,29.2
176,YUMA,YUMA 1,3200.0,564.0,398.0,70.6,166.0,29.4,194.0,34.4
177,YUMA,WRAY RD-2,3210.0,407.0,299.0,73.5,108.0,26.5,113.0,27.8
178,YUMA,IDALIA RJ-3,3220.0,95.0,62.0,65.3,33.0,34.7,35.0,36.8
179,YUMA,LIBERTY J-4,3230.0,38.0,20.0,52.6,18.0,47.4,19.0,50.0
180,DENVER,CHARTER SCHOOL INSTITUTE,8001.0,5764.0,2408.0,41.8,3339.0,57.9,3419.0,59.3
181,COLORADO BOCS,MOUNTAIN BOCES,9030.0,127.0,45.0,35.4,82.0,64.6,84.0,66.1
182,COLORADO BOCS,CENTENNIAL BOCES,9035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,COLORADO BOCS,SAN JUAN BOCES,9050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,COLORADO BOCS,EXPEDITIONARY BOCES,9130.0,37.0,31.0,83.8,6.0,16.2,6.0,16.2
